Season,Released,Episode,imdbRating,Title,No.overall ,No.inSeason ,Directed,Written,Prod.Code,U.S.viewers(millions) ,Ratio
3,1991-11-27,10,7.6,The Stranded,27,10,Tom Cherones,Larry David & Jerry Seinfeld andMatt Goldman,209,18.6,0.4086021505
3,1991-12-04,11,8.6,The Alternate Side,28,11,Tom Cherones,Larry David and Bill Masters,310,18,0.4777777778
3,1991-12-11,12,8.6,The Red Dot,29,12,Tom Cherones,Larry David,311,17.9,0.4804469274
3,1992-01-08,13,8.9,The Subway,30,13,Tom Cherones,Larry Charles,313,18.7,0.4759358289
3,1992-01-15,14,8.7,The Pez Dispenser,31,14,Tom Cherones,Larry David,314,19.2,0.453125
3,1992-01-29,15,7.9,The Suicide,32,15,Tom Cherones,Tom Leopold,312,16.9,0.4674556213
3,1992-02-05,16,8.5,The Fix Up,33,16,Tom Cherones,Elaine Pope & Larry Charles,317,18.5,0.4594594595
3,1992-02-12,17,9.1,The Boyfriend: Part 1,34–35,17–18,Tom Cherones,Larry David and Larry Levin,315/316,17,0.5352941176
3,1992-02-12,18,8.9,The Boyfriend: Part 2,34–35,17–18,Tom Cherones,Larry David and Larry Levin,315/316,17,0.5235294118
3,1992-02-26,19,9,The Limo,36,19,Tom Cherones,"Story by: Marc Jaffe
Teleplay: Larry Charles",318,19.5,0.4615384615
3,1992-03-04,20,8.1,The Good Samaritan,37,20,Jason Alexander,Peter Mehlman,319,16.1,0.5031055901
3,1992-03-25,21,8.1,The Letter,38,21,Tom Cherones,Larry David,320,22.3,0.3632286996
3,1992-04-22,22,8.5,The Parking Space,39,22,Tom Cherones,Larry David and Greg Daniels,322,17.8,0.4775280899
3,1992-05-06,23,8.7,The Keys,40,23,Tom Cherones,Larry Charles,321,16.4,0.5304878049
4,1992-08-12,1,8.5,The Trip: Part 1,41,1,Tom Cherones,Larry Charles,401,16.3,0.5214723926
4,1992-08-19,2,8.7,The Trip: Part 2,42,2,Tom Cherones,Larry Charles,402,15.1,0.5761589404
4,1992-09-16,3,8.8,The Pitch,43,3,Tom Cherones,Larry David,403,17.6,0.5
4,1992-09-16,3,8.8,The Pitch,44,4,Tom Cherones,Larry David,404,17.6,0.5
4,1992-09-16,4,8.6,The Ticket,43,3,Tom Cherones,Larry David,403,17.6,0.4886363636
4,1992-09-16,4,8.6,The Ticket,44,4,Tom Cherones,Larry David,404,17.6,0.4886363636
4,1992-09-23,5,8.3,The Wallet,45,5,Tom Cherones,Larry David,405,17.6,0.4715909091
4,1992-09-30,6,8.4,The Watch,46,6,Tom Cherones,Larry David,406,15.2,0.5526315789
4,1992-10-07,7,9,The Bubble Boy,47,7,Tom Cherones,Larry David & Larry Charles,407,17.1,0.5263157895
4,1992-10-28,8,8.7,The Cheever Letters,48,8,Tom Cherones,"Story by: Larry David and Elaine Pope & Tom Leopold
Teleplay by: Larry David",408,15.1,0.5761589404
4,1992-11-04,9,8.5,The Opera,49,9,Tom Cherones,Larry Charles,409,16.7,0.5089820359
4,1992-11-11,10,8.4,The Virgin,50,10,Tom Cherones,"Story by: Peter Mehlman andPeter Farrelly & Bob Farrelly
Teleplay by: Peter Mehlman",410,16.2,0.5185185185
4,1992-11-18,11,9.6,The Contest,51,11,Tom Cherones,Larry David,411,18.5,0.5189189189
4,1992-11-25,12,9.1,The Airport,52,12,Tom Cherones,Larry Charles,412,14.5,0.6275862069
4,1992-12-16,13,8.8,The Pick,53,13,Tom Cherones,"Story by: Larry David and Marc Jaffe
Teleplay by: Larry David",413,16.2,0.5432098765
4,1993-01-06,14,8.4,The Movie,54,14,Tom Cherones,Steve Skrovan & Bill Masters & Jon Hayman,415,17.6,0.4772727273
4,1993-01-27,15,8.4,The Visa,55,15,Tom Cherones,Peter Mehlman,414,,
4,1993-02-04,16,8.5,The Shoes,56,16,Tom Cherones,Larry David & Jerry Seinfeld,417,26.9,0.3159851301
4,1993-02-11,17,9.4,The Outing,57,17,Tom Cherones,Larry Charles,416,28,0.3357142857
4,1993-02-18,18,8.4,The Old Man,58,18,Tom Cherones,"Story by: Bruce Kirschbaum
Teleplay by: Larry Charles",418,22.7,0.3700440529
4,1993-02-25,19,8.9,The Implant,59,19,Tom Cherones,Peter Mehlman,419,27.4,0.3248175182
4,1993-03-17,20,8.9,The Junior Mint,60,20,Tom Cherones,Andy Robin,421,26.4,0.3371212121
4,1993-04-15,21,8.7,The Smelly Car,61,21,Tom Cherones,Larry David & Peter Mehlman,422,25,0.348
4,1993-05-13,22,8.5,The Handicap Spot,62,22,Tom Cherones,Larry David,420,27.6,0.3079710145
4,1993-05-20,23,8.9,The Pilot,63–64,23–24,Tom Cherones,Larry David,423/424,32.8,0.2713414634
5,1993-09-16,1,8.8,The Mango,65,1,Tom Cherones,"Story by: Lawrence H. Levy
Teleplay by: Lawrence H. Levy and Larry David",501,28.2,0.3120567376
5,1993-09-23,2,9.1,The Puffy Shirt,66,2,Tom Cherones,Larry David,503,29.5,0.3084745763
5,1993-09-30,3,8.5,The Glasses,67,3,Tom Cherones,Tom Gammill & Max Pross,502,28.7,0.2961672474
5,1993-10-07,4,8.4,The Sniffing Accountant,68,4,Tom Cherones,Larry David & Jerry Seinfeld,504,28.4,0.2957746479
5,1993-10-14,5,8.3,The Bris,69,5,Tom Cherones,Larry Charles,505,28.7,0.2891986063
5,1993-10-28,6,8.7,The Lip Reader,70,6,Tom Cherones,Carol Leifer,506,31,0.2806451613
5,1993-11-04,7,8.7,The Non-Fat Yogurt,71,7,Tom Cherones,Larry David,508,31.1,0.2797427653
5,1993-11-11,8,8.4,The Barber,72,8,Tom Cherones,Andy Robin,507,29.7,0.2828282828
5,1993-11-18,9,8.1,The Masseuse,73,9,Tom Cherones,Peter Mehlman,509,27.7,0.2924187726
5,1993-12-09,10,8.6,The Cigar Store Indian,74,10,Tom Cherones,Tom Gammill & Max Pross,510,29.6,0.2905405405
5,1993-12-16,11,8.4,The Conversion,75,11,Tom Cherones,Bruce Kirschbaum,511,28.3,0.296819788
5,1994-01-06,12,8.9,The Stall,76,12,Tom Cherones,Larry Charles,512,35,0.2542857143
5,1994-02-03,13,8.4,The Dinner Party,77,13,Tom Cherones,Larry David,514,33,0.2545454545
5,1994-02-10,14,9.3,The Marine Biologist,78,14,Tom Cherones,Ron Hauge & Charlie Rubin,513,35,0.2657142857
5,1994-02-17,15,8.7,The Pie,79,15,Tom Cherones,Tom Gammill & Max Pross,515,,
5,1994-02-24,16,8.1,The Stand-In,80,16,Tom Cherones,Larry David,516,25.4,0.3188976378
5,1994-03-17,17,8.2,The Wife,81,17,Tom Cherones,Peter Mehlman,517,30.7,0.2671009772
5,1994-04-28,18,8.7,The Raincoats,82–83,18–19,Tom Cherones,Tom Gammill & Max Pross and Larry David & Jerry Seinfeld,519/520,29.6,0.2939189189
5,1994-05-05,19,8.9,The Fire,84,20,Tom Cherones,Larry Charles,518,27.6,0.3224637681
5,1994-05-12,20,9.2,The Hamptons,85,21,Tom Cherones,Peter Mehlman & Carol Leifer,522,24.5,0.3755102041
5,1994-05-19,21,9.5,The Opposite,86,22,Tom Cherones,Andy Cowan and Larry David & Jerry Seinfeld,521,30.1,0.3156146179
6,1994-09-22,1,8.2,The Chaperone,87,1,Andy Ackerman,Larry David and Bill Masters & Bob Shaw,601,32.8,0.25
6,1994-09-29,2,8.4,The Big Salad,88,2,Andy Ackerman,Larry David,602,32.4,0.2592592593
6,1994-10-06,3,8.4,The Pledge Drive,89,3,Andy Ackerman,Tom Gammill & Max Pross,603,29.8,0.2818791946
6,1994-10-13,4,8.4,The Chinese Woman,90,4,Andy Ackerman,Peter Mehlman,604,29.2,0.2876712329
6,1994-10-27,5,8.5,The Couch,91,5,Andy Ackerman,Larry David,605,28,0.3035714286
6,1994-11-03,6,8.5,The Gymnast,92,6,Andy Ackerman,Alec Berg & Jeff Schaffer,606,30.6,0.2777777778
6,1994-11-10,7,8.5,The Soup,93,7,Andy Ackerman,Fred Stoller,608,29.6,0.2871621622
6,1994-11-17,8,8.4,The Mom and Pop Store,94,8,Andy Ackerman,Tom Gammill & Max Pross,607,32.4,0.2592592593
6,1994-12-08,9,8.3,The Secretary,95,9,David Owen Trainor,Carol Leifer & Marjorie Gross,609,29.7,0.2794612795
6,1994-12-15,10,9.1,The Race,96,10,Andy Ackerman,"Story by: Tom Gammill & Max Pross and Larry David & Sam Kass
Teleplay by: Tom Gammill & Max Pross and Larry David",612,26.8,0.3395522388
6,1995-01-05,11,9,The Switch,97,11,Andy Ackerman,Bruce Kirschbaum and Sam Kass,610,36.6,0.2459016393
6,1995-01-19,12,8.8,The Label Maker,98,12,Andy Ackerman,Alec Berg & Jeff Schaffer,611,36.2,0.2430939227
6,1995-01-26,13,8.4,The Scofflaw,99,13,Andy Ackerman,Peter Mehlman,613,33.4,0.251497006
6,1995-02-02,14,7.6,Highlights of a Hundred,100–101,14–15,Andy Ackerman,Peter Mehlman,623/624,34,0.2235294118
6,1995-02-09,15,8.5,The Beard,102,16,Andy Ackerman,Carol Leifer,615,32.9,0.2583586626
6,1995-02-16,16,8.4,The Kiss Hello,103,17,Andy Ackerman,Larry David & Jerry Seinfeld,614,33.4,0.251497006
6,1995-02-23,17,8.6,The Doorman,104,18,Andy Ackerman,Tom Gammill & Max Pross,616,33.4,0.2574850299
6,1995-03-16,18,9.2,The Jimmy,105,19,Andy Ackerman,Gregg Kavet & Andy Robin,617,31.1,0.2958199357
6,1995-04-06,19,8.6,The Doodle,106,20,Andy Ackerman,Alec Berg & Jeff Schaffer,618,30.7,0.2801302932
6,1995-04-27,20,8.9,The Fusilli Jerry,107,21,Andy Ackerman,"Story by: Marjorie Gross & Jonathan Gross and Ron Hauge &Charlie Rubin
Teleplay by: Marjorie Gross",619,28.2,0.3156028369
6,1995-05-04,21,8.3,The Diplomat's Club,108,22,Andy Ackerman,Tom Gammill & Max Pross,620,28.9,0.2871972318
6,1995-05-11,22,8.6,The Face Painter,109,23,Andy Ackerman,"Story by: Larry David and Fred Stoller
Teleplay by Larry David",622,26.5,0.3245283019
6,1995-05-18,23,8.3,The Understudy,110,24,Andy Ackerman,Marjorie Gross & Carol Leifer,621,29.8,0.2785234899
7,1995-09-21,1,8.7,The Engagement,111,1,Andy Ackerman,Larry David,701,37.6,0.2313829787
7,1995-09-28,2,8.4,The Postponement,112,2,Andy Ackerman,Larry David,702,34.5,0.2434782609
7,1995-10-05,3,8.3,The Maestro,113,3,Andy Ackerman,Larry David,703,34.6,0.2398843931
7,1995-10-12,4,8.9,The Wink,114,4,Andy Ackerman,Tom Gammill & Max Pross,704,32.3,0.2755417957
7,1995-10-19,5,8.9,The Hot Tub,115,5,Andy Ackerman,Gregg Kavet & Andy Robin,705,32.6,0.273006135
7,1995-11-02,6,9.6,The Soup Nazi,116,6,Andy Ackerman,Spike Feresten,706,33.1,0.2900302115
7,1995-11-09,7,8.5,The Secret Code,117,7,Andy Ackerman,Alec Berg & Jeff Schaffer,707,33.9,0.2507374631
7,1995-11-16,8,8.5,The Pool Guy,118,8,Andy Ackerman,David Mandel,708,33.4,0.254491018
7,1995-12-07,9,8.6,The Sponge,119,9,Andy Ackerman,Peter Mehlman,709,32.3,0.26625387
7,1995-12-14,10,8.9,The Gum,120,10,Andy Ackerman,Tom Gammill & Max Pross,710,31.4,0.2834394904
7,1996-01-04,11,9,The Rye,121,11,Andy Ackerman,Carol Leifer,711,35.1,0.2564102564
7,1996-01-25,12,8.8,The Caddy,122,12,Andy Ackerman,Gregg Kavet & Andy Robin,712,32,0.275
7,1996-02-01,13,8.4,The Seven,123,13,Andy Ackerman,Alec Berg & Jeff Schaffer,713,37.1,0.2264150943
7,1996-02-08,14,8.7,The Cadillac,124–125,14–15,Andy Ackerman,Larry David & Jerry Seinfeld,714/717,35.9,0.2423398329
7,1996-02-15,15,8.6,The Shower Head,126,16,Andy Ackerman,Peter Mehlman & Marjorie Gross,715,32.3,0.26625387
7,1996-02-22,16,8.4,The Doll,127,17,Andy Ackerman,Tom Gammill & Max Pross,716,32.9,0.2553191489
7,1996-03-07,17,8.1,The Friars Club,128,18,Andy Ackerman,David Mandel,718,32.7,0.247706422
7,1996-04-04,18,8.4,The Wig Master,129,19,Andy Ackerman,Spike Feresten,719,30.5,0.2754098361
7,1996-04-25,19,8.9,The Calzone,130,20,Andy Ackerman,Alec Berg & Jeff Schaffer,720,28.5,0.3122807018
7,1996-05-02,20,8.9,The Bottle Deposit,131–132,21–22,Andy Ackerman,Gregg Kavet & Andy Robin,721/722,32.4,0.274691358
7,1996-05-09,21,8.5,The Wait Out,133,23,Andy Ackerman,"Story by: Peter Mehlman & Matt Selman
Teleplay by: Peter Mehlman",723,29.9,0.2842809365
7,1996-05-16,22,8.9,The Invitations,134,24,Andy Ackerman,Larry David,724,33.2,0.2680722892
8,1996-09-19,1,8.5,The Foundation,135,1,Andy Ackerman,Alec Berg & Jeff Schaffer,801,33.7,0.2522255193
8,1996-09-26,2,8.3,The Soul Mate,136,2,Andy Ackerman,Peter Mehlman,802,33.2,0.25
8,1996-10-03,3,9.2,The Bizarro Jerry,137,3,Andy Ackerman,David Mandel,803,31.6,0.2911392405
8,1996-10-10,4,9.1,The Little Kicks,138,4,Andy Ackerman,Spike Feresten,804,32.2,0.2826086957
8,1996-10-17,5,8.8,The Package,139,5,Andy Ackerman,Jennifer Crittenden,805,30.1,0.292358804
8,1996-10-31,6,8.4,The Fatigues,140,6,Andy Ackerman,Gregg Kavet & Andy Robin,806,30.3,0.2772277228
8,1996-11-07,7,8.4,The Checks,141,7,Andy Ackerman,Steve O'Donnell and Tom Gammill & Max Pross,807,32,0.2625
8,1996-11-14,8,9.2,The Chicken Roaster,142,8,Andy Ackerman,Alec Berg & Jeff Schaffer,808,34.1,0.2697947214
8,1996-11-21,9,9.1,The Abstinence,143,9,Andy Ackerman,Steve Koren,809,34.4,0.2645348837
8,1996-11-28,10,8.6,The Andrea Doria,144,10,Andy Ackerman,Spike Feresten,810,29.7,0.2895622896
8,1997-01-09,11,8.7,The Little Jerry,145,11,Andy Ackerman,Jennifer Crittenden,811,34.5,0.252173913
8,1997-01-16,12,8.1,The Money,146,12,Andy Ackerman,Peter Mehlman,813,37.3,0.2171581769
8,1997-01-30,13,8.9,The Comeback,147,13,David Owen Trainor,Gregg Kavet & Andy Robin,812,33.5,0.2656716418
8,1997-02-06,14,8.3,The Van Buren Boys,148,14,Andy Ackerman,Darin Henry,814,33.8,0.2455621302
8,1997-02-13,15,8.7,The Susie,149,15,Andy Ackerman,David Mandel,815,32,0.271875
8,1997-02-20,16,8.8,The Pothole,150,16,Andy Ackerman,Steve O'Donnell and Dan O'Keefe,816,33.8,0.2603550296
8,1997-03-13,17,8.7,The English Patient,151,17,Andy Ackerman,Steve Koren,817,31.3,0.2779552716
8,1997-04-10,18,8.9,The Nap,152,18,Andy Ackerman,Gregg Kavet & Andy Robin,818,32.2,0.2763975155
8,1997-04-24,19,9.1,The Yada Yada,153,19,Andy Ackerman,Peter Mehlman and Jill Franklyn,819,31.6,0.2879746835
8,1997-05-01,20,8.3,The Millennium,154,20,Andy Ackerman,Jennifer Crittenden,820,29.3,0.2832764505
8,1997-05-08,21,8.7,The Muffin Tops,155,21,Andy Ackerman,Spike Feresten,821,31.1,0.2797427653
8,1997-05-15,22,8.8,The Summer of George,156,22,Andy Ackerman,Alec Berg & Jeff Schaffer,822,29.8,0.2953020134
9,1997-09-25,1,8.7,The Butter Shave,157,1,Andy Ackerman,Alec Berg & Jeff Schaffer & David Mandel,901,37.8,0.2301587302
9,1997-10-02,2,8.8,The Voice,158,2,Andy Ackerman,Alec Berg & Jeff Schaffer & David Mandel,902,30.9,0.284789644
9,1997-10-09,3,9,The Serenity Now,159,3,Andy Ackerman,Steve Koren,903,30.2,0.298013245
9,1997-10-16,4,8.3,The Blood,160,4,Andy Ackerman,Dan O'Keefe,904,31.5,0.2634920635
9,1997-10-30,5,8.4,The Junk Mail,161,5,Andy Ackerman,Spike Feresten,905,30.2,0.2781456954
9,1997-11-06,6,9.1,The Merv Griffin Show,162,6,Andy Ackerman,Bruce Eric Kaplan,906,31.6,0.2879746835
9,1997-11-13,7,8.5,The Slicer,163,7,Andy Ackerman,"Story by: Gregg Kavet & Andy Robin & Darin Henry
Teleplay by: Gregg Kavet & Andy Robin",907,32.8,0.2591463415
9,1997-11-20,8,9.2,The Betrayal,164,8,Andy Ackerman,David Mandel & Peter Mehlman,908,34,0.2705882353
9,1997-12-11,9,8.5,The Apology,165,9,Andy Ackerman,Jennifer Crittenden,909,30.5,0.2786885246
9,1997-12-18,10,8.9,The Strike,166,10,Andy Ackerman,Dan O'Keefe and Alec Berg & Jeff Schaffer,910,30.8,0.288961039
9,1998-01-08,11,8.7,The Dealership,167,11,Andy Ackerman,Steve Koren,911,32.9,0.26443769
9,1998-01-15,12,8.7,The Reverse Peephole,168,12,Andy Ackerman,Spike Feresten,912,33.5,0.2597014925
9,1998-01-29,13,8.2,The Cartoon,169,13,Andy Ackerman,Bruce Eric Kaplan,913,33.2,0.2469879518
9,1998-02-05,14,8.3,The Strongbox,170,14,Andy Ackerman,"Story by: Dan O'Keefe & Billy Kimball
Teleplay by: Dan O'Keefe",914,31.6,0.2626582278
9,1998-02-26,15,8.3,The Wizard,171,15,Andy Ackerman,Steve Lookner,915,30.5,0.2721311475
9,1998-03-19,16,8.6,The Burning,172,16,Andy Ackerman,Jennifer Crittenden,916,30.9,0.2783171521
9,1998-04-09,17,8.6,The Bookstore,173,17,Andy Ackerman,"Story by: Spike Feresten and Darin Henry & Marc Jaffe
Teleplay by: Spike Feresten",917,29.6,0.2905405405
9,1998-04-23,18,9,The Frogger,174,18,Andy Ackerman,"Story by: Gregg Kavet & Andy Robin and Steve Koren & Dan O'Keefe
Teleplay by: Gregg Kavet & Andy Robin",918,30.7,0.2931596091
9,1998-04-30,19,8.2,The Maid,175,19,Andy Ackerman,"Story by: Alec Berg & David Mandel & Jeff Schaffer and Kit Boss & Peter Mehlman
Teleplay by: Alec Berg & David Mandel & Jeff Schaffer",919,33.3,0.2462462462
9,1998-05-07,20,8.3,The Puerto Rican Day,176,20,Andy Ackerman,"Alec Berg, Jennifer Crittenden, Spike Feresten, Bruce Eric Kaplan,
Gregg Kavet, Steve Koren, David Mandel, Dan O'Keefe, Andy Robin, Jeff Schaffer",920,38.8,0.2139175258
9,1998-05-14,21,8.3,The Chronicle,177–178,21–22,Andy Ackerman,Darin Henry,921/922,58.5,0.1418803419
9,1998-05-14,22,8.1,The Finale,179–180,23–24,Andy Ackerman,Larry David,923/924,76.3,0.1061598952
